PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Acta Paediatr Scand|Acta paediatrica Scandinavica|0000211|0001-656X||1965|1991|0|
Acta Med Vet (Napoli)|Acta medica veterinaria|0000212|0001-6136||1955|1996|0|
Acta Paediatr|Acta paediatrica|0000213|0365-1436||1921|1964|0|
Acta Pharm Suec|Acta pharmaceutica Suecica|0000216|0001-6675||1964|1988|0|
Adv Radiat Biol|Advances in radiation biology|0000256|0065-3292||1964|1994|0|
Adv Oral Biol|Advances in oral biology|0000261|0065-3020||1964|1970|0|
Adv Lipid Res|Advances in lipid research|0000262|0065-2849||1963|1993|0|
Adv Bot Res|Advances in botanical research|0000266|0065-2296||1963|uuuu|0|
Aerztlicher Feldpostbrief|Aerztlicher Feldpostbrief|0000304|||1945|19uu|0|
Bull Am Cancer Soc|Bulletin. American Cancer Society|0000670|||1944|1945|0|
An Med Ateneo Ramon Cajal Mex|Anales de medicina. Ateneo Ramon y Cajal, Mexico|0000745|||1943|1945|0|
Aust N Z J Obstet Gynaecol|The Australian & New Zealand journal of obstetrics & gynaecology|0001027|0004-8666|1479-828X|1961|uuuu|0|
Aust J Zool|Australian journal of zoology|0001061|0004-959X||1953|uuuu|0|
Aust. J. Bot.|Australian journal of botany|0001063|0067-1924||1953|uuuu|0|
Am J Pract Nurs|American journal of practical nursing|0001470|0569-6054||1965|1967|0|
Proc Annu Meet Am Stud Health Assoc|Proceedings of the annual meeting. American Student Health Association|0001626|||1920|1948|0|
Trans West Sect Am Urol Assoc|Transactions. American Urological Association. Western Section|0001640|||1932|1960|0|
Anest Rianim|Anestesia e rianimazione|0001703|0570-0760||1960|1989|0|
Ann Hyg Med Colon|Annales d'hygiene et de medecine coloniales|0001760|||1898|1914|0|
An Argent Oftalmol|Anales argentinos de oftalmologia|0001770|||1939|1947|0|
Ann Biochem Exp Med|Annals of biochemistry and experimental medicine|0002045|0365-0642||1941|1963|0|
Arch Kriminol|Archiv fur Kriminologie|0002256|0003-9225||1916|uuuu|0|
Arch Orthop Unfallchir|Archiv fur orthopadische und Unfall-Chirurgie|0002266|0003-9330||1918|1977|0|
Arch Rhumatol|Archives de rhumatologie|0002331|||1936|1947|0|
Arch Int Neurol|Archives internationales de neurologie, des maladies hereditaires, de medecine mentale et psychosomatique|0002344|||1910|1953|0|
Arch Domin Pediatr|Archivos dominicanos de pediatria|0002442|0004-0606||1965|uuuu|0|
